,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
84,84,hummus,435,21.1,2.8,12,5.2,49.5,0.7,12,9.8,0,0.6,159.6,0,0.2,0.1,0,0.1,1,0.7,1,19.4,0,1.8,0.059,120.5,0.6,3.8,71.3,1.4,270.6,425.6,0.038,2.7,236.1
86,86,enchirito with cheese beef beans,344,16.1,7.9,6.5,0.3,33.8,0,17.9,0,50.2,1.3,121,0.074,0.2,0.028,0.051,0.7,3,1.8,0.2,4.6,0,0,0,218.1,0.3,2.4,71.4,0.4,223.9,559.7,0.016,2.8,292.984
93,93,taco with chicken cheese lettuce,185,6.2,2.5,1.6,1.6,19.3,1.3,13,1.2,28.4,0.6,57.3,0.014,0.2,0.029,0.094,0.1,5.1,0,0.1,0.2,0.017,0.2,0.075,119.6,0.012,1.6,23.5,0.2,239.1,212.7,0.093,0.7,161.153
100,100,burrito with beans beef,460,18,7,7.8,1.4,47,5.3,27.8,7.2,62.7,1.4,144.6,0.096,0.4,0.2,0.088,0.3,5.3,0.8,0.5,4.6,0.059,1.1,0.022,216.9,0.3,4.6,60.3,0.6,392.8,648.3,0.031,4.8,326.183
107,107,chicken sandwich with cheese,632,38.8,12.4,13.7,9.9,41.6,0,29.4,0,77.5,1.2,104.9,0.2,0.4,0.1,0.092,0.5,9.1,1.3,0.4,3,0,0,0,257.6,0.2,3.6,43.3,0.4,405.8,332.9,0.073,2.9,374.2
111,111,nachos with cheese jalapeno peppers,608,34.1,14,14.4,4,60.1,0,16.8,0,83.6,1.7,87.1,0.4,0.1,0.044,0.05,0.5,2.8,2.4,0.4,1,0,0,0,620.2,0.2,2.4,108.1,0.4,393.7,293.8,0.083,2.9,735
117,117,chimichanga with beef cheese,443,23.4,11.2,9.4,0.7,39.3,0,20.1,0,51.2,1,96.4,0.1,0.4,0.052,0.012,0.9,4.7,1.8,0.2,2.7,0,0,0,237.9,0.4,3.8,60.4,0.5,186.7,203.1,0.085,3.4,327.3
123,123,tostada with guacamole,180,11.6,4.9,4.2,1.5,16,0,6.2,0,19.6,0.4,94.6,0.016,0.092,0.004,0.047,0.3,1,1,0.1,1.8,0,0,0,211.4,0.1,0.8,36.5,0.2,116.1,324.9,0.096,2,247.853
124,124,chicken sandwich,468,20.9,4,8.4,5.9,39.1,6.8,30.4,2.6,65.5,1.4,91.5,0.077,0.03,0.4,0.1,0.053,0.6,14.4,0.6,0.7,1.5,0.031,4.5,0.012,108.5,0.2,3.3,44.9,0.5,346,458.2,0.064,94.051
129,129,chimichanga with beef,425,19.7,8.5,8.1,1.1,42.8,0,19.6,0,8.7,0.9,88.2,0,0.5,0.068,0.042,0.6,5.8,2.1,0.3,4.7,0,0,0,62.6,0.4,4.5,62.6,0.6,123.5,586.4,0.029,5,153.9
130,130,french toast with butter,178,9.4,3.9,3.5,1.2,18,0,5.2,0,58.1,0.3,34.2,0.088,0.3,0.083,0.084,0.2,2,0.3,0.004,0.004,0,0,0,36.5,0.072,0.9,8.1,0.1,72.9,88.4,0.065,0.3,70.093
137,137,tostada with beef cheese,315,16.3,10.4,3.3,1,22.8,0,19,0,40.8,0.9,101.1,0.022,0.034,0.076,0.069,0.6,3.1,1.9,0.2,2.6,0,0,0,216.8,0.3,2.9,63.6,0.5,179.3,572.1,0.093,3.7,280.498
138,138,tostada with beans cheese,223,9.9,5.4,3.1,0.7,26.5,0,9.6,0,30.2,0.5,95.4,0.011,0.1,0.05,0.017,0.3,1.3,1.1,0.2,1.3,0,0,0,210.2,0.2,1.9,59,0.4,116.6,403.2,0.072,1.9,259.467
140,140,nachos with cheese,274,17.2,1.7,11.2,4,27.9,1.7,3.5,2.6,2.4,0.3,29.9,0.044,0.09,0.065,0.041,0.006,0.1,0.5,0.9,0.2,0.9,0,3.3,0.05,50.4,0.029,0.6,33.6,0.2,158.4,289.6,0.068,51.581
145,145,taco with beef cheese lettuce,156,8.8,3,3,2.1,13.7,0.6,6.1,2.7,19.3,0.3,39.3,0.043,0.07,0.025,0.075,0.098,1.1,0,0.056,0.3,0.06,0.4,0.057,61.4,0.005,0.8,22.1,0.2,122.8,144.2,0.083,1.2,93.825
146,146,burrito with beans cheese beef,165,6.6,3.6,2.2,0.5,19.8,0,7.3,0,61.9,0.5,65.9,0,0.2,0.034,0.045,0.4,1.9,0.8,0.1,2.5,0,0,0,65,0.2,1.9,25.4,0.2,70,205,0.051,1.2,103.1
149,149,taco salad with chili con carne,193,8.8,4,3,1,17.7,0,11.6,0,3.5,0.6,133.6,0.1,0.1,0.067,0.063,0.3,1.7,1,0.3,2.3,0,0,0,163.6,0.2,1.8,34.8,0.2,102.7,261,0,2.2,205.9
154,154,burrito with beans cheese,379,11.2,4.3,2.3,4.1,57.8,3.2,13.6,7.8,9.3,1,98.4,0.033,0.4,0.2,0.081,0.2,3.7,0,0.2,0.7,0.02,1,0.02,229.4,0.3,4.4,62.9,0.8,301.6,482.9,0.04,1.6,324.946
158,158,fruit burrito,231,9.5,4.6,3.4,1.1,35,0,2.5,0,3.7,0.2,26.4,0,0.2,0.029,0.015,0.2,1.9,0.9,0.079,0.7,0,0,0,15.5,0.051,1.1,7.4,0.1,14.8,104.3,0.024,0.4,64.3
166,166,spinach spaghetti cooked,182,0.9,0.1,0.1,0.4,36.6,0,6.4,0,0,0.061,95.4,0,0.1,0.086,0,0.1,2.1,0.3,0.1,0,0,0,0,42,0.3,1.5,86.8,2.1,151.2,81.2,0.045,1.5,87.4
168,168,spaghetti with meat sauce,255,2.9,1,0.9,0.9,43.1,7.4,14.3,5.1,17,0.7,220.2,0,0.3,0.1,0.077,3.8,0.5,0.2,0.2,15.3,0,1.4,0.002,50.9,0.4,3.5,42.5,0.6,138.7,407.5,0.061,1.4,135.1
169,169,pasta with meatballs in tomato sauce,273,13,5,5.7,0.9,28.3,7.2,10.6,6.9,23,0.7,199.5,0.052,0.2,0.089,0.042,0.3,5.1,0.5,0.2,7.7,0.061,2,0.027,30.6,0.2,3.3,35.7,0.6,117.3,359.6,0.023,1.5,100.474
171,171,pasta with sliced franks in tomato sauce,227,6,2.5,2.5,1,32,8,11,4,22.7,0.7,197.1,0.054,0.2,0.1,0.031,0.2,2.9,0.6,0.2,9.6,0.07,1.9,0.072,151.2,0.3,2.3,35.3,0.3,108.4,481.3,0.02,1.3,216.154
172,172,lasagna,166,6.1,2.9,2.2,0.5,18.9,3.8,9,2.1,20.9,0.5,87.2,0.2,0.074,0.096,0,0,0.025,1.9,0.4,0.2,3.1,0,1,0.08,108.2,0.1,0.9,24.6,0.2,141.5,241.1,0.001,36.675
177,177,pasta with tomato sauce,176,1.8,0.4,0.3,0.5,35.1,10.1,5.6,2.3,15.1,1,207,0.071,0.099,0.1,0.018,0,0.1,3.3,0,0.1,0,0,1.6,0.083,32.8,0.1,2.3,35.3,0.4,98.3,483.8,0.065,45.091
179,179,vegetable chicken soup,166,4.8,1.4,2.2,1,21.1,3.4,12.3,1,16.9,0.075,201,0.05,0.069,0.09,0.031,0.2,3.3,0,0.083,5.5,0,0.7,0.054,26.5,0.2,1.5,9.6,0,106,368.7,0.038,2.2,72.737
180,180,bean ham soup,198,2.5,0.6,1,0.7,33.5,7.8,10.3,9.8,4.9,0.5,195.8,0,0.1,0.099,0,0.068,0.8,0.3,0.1,2.7,0,1,0.035,93.1,0.2,2.5,46.6,0.6,31.9,387.1,0.021,1.3,154.4
181,181,cream of chicken soup,227,14.5,4.3,5.2,2.7,18,1.4,6,0,20.2,1.8,208.5,0.1,0.064,0.027,0,0.1,1,0.5,0,0.3,0,1.4,0.052,35.3,0.3,2.7,10.1,0.2,78.1,123.5,0.084,0.7,76.9
182,182,tomato soup canned,139,3.3,1.8,0.8,0.3,22.6,16.5,6.3,1.5,10.1,0.5,216.7,0.014,0.036,0.097,0.061,0.3,1.4,0.5,0.2,15.9,0.07,0.5,0.083,173.9,0.2,1.4,30.2,0.2,156.2,461.2,0.067,0.9,224.932
183,183,egg drop soup,65,1.5,0.4,0.5,0.3,10.3,0.2,2.8,1,55.4,0.9,223.8,0.002,0.013,0.021,0,0.079,0.4,0.3,0.096,15.7,0.08,0.3,0.041,16.9,0.081,0.6,4.8,0.023,36.2,53,0.028,0.2,48.808
185,185,cream of onion soup,268,12.8,3.6,5.1,3.5,31.7,11.1,6.7,1.2,36.6,1.9,247.1,0.08,0.1,0.049,0,0.2,1.2,0.7,0.007,3.1,0,1.3,0.035,82.4,0.3,1.5,15.3,0.6,91.5,298.9,0.095,0.4,139.473
187,187,vegetable soup with beef broth,162,3.8,0.9,1.1,1.6,26.3,4,6,3.2,2.5,1.3,204.8,0.2,0.1,0.008,0,0.04,1.9,0.7,0.1,4.7,0,0.3,0.065,34.4,0.3,1.9,12.3,0.7,78.7,386.2,0.041,1.6,80.5
188,188,chili with beans canned,287,14.1,6,6,0.9,30.5,3,14.6,11.3,43.5,1.3,193.3,0,0.1,0.018,0,0.3,0.9,3.6,0.3,4.4,0,1.3,0.074,120.3,0.3,8.8,115.2,0.3,394.2,934.4,0.018,5.1,204
189,189,beef noodle soup,168,6.2,2.3,2.5,1,17.9,5.2,9.6,1.5,10,1.6,211.1,0.037,0.1,0.017,0.037,0.1,2.1,0.4,0.079,0.8,0,2.5,0.02,30,0.3,2.2,12.5,0.5,92.5,197.5,0.063,3.1,68.232
191,191,chicken mushroom soup,126,6.1,1.6,2.7,1.5,15.1,1,2,4,10.1,0.8,101.3,0.04,0.019,0.065,0.03,0.1,1.6,0.3,0.046,0,0,0.8,0.061,29,0.048,0.9,8.8,0.1,27.7,158.8,0.046,1,57.171
192,192,beef vegetable soup,120,2.9,1,0.7,0.9,15.4,3.1,8,3,17.5,0.8,220.6,0.3,0.094,0.085,0.027,0.086,2.4,0,0.3,9,0,1.1,0.04,45,0.049,1.3,25,0.2,120,435,0.002,1.4,84.9
193,193,black bean soup,234,3.4,0.9,1.2,1.1,39.6,6.4,12.4,17.5,0,2.5,193.6,0,0.1,0.2,0,0.1,1.1,0.4,0.2,0.5,0,0.9,0.035,90,0.8,3.9,84.8,1.3,192.8,642.5,0,2.8,167.3
194,194,split pea soup with ham bacon,189,3.1,0.9,1.2,0.6,28.6,0,11.6,4.1,4.1,1,88.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,49.5
195,195,cream of mushroom soup,199,13.4,2.4,3.1,7.3,17.1,1,3.4,1.8,0,1.7,213.4,0.057,0.02,0.008,0,0.079,0.9,0.4,0.035,0,0.071,1.3,0.024,30.2,0.016,0.5,7.6,0.028,60.5,161.3,0.093,0.3,66.404
196,196,green pea soup,320,5.7,2.7,1.9,0.7,51.7,16.7,16.7,10,0,1.7,175.5,0.067,0.2,0.072,0,0.1,2.4,0.3,0.1,3.3,0,0.5,0.024,53.8,0.7,3.8,76.8,1.3,243.2,371.2,0.099,3.3,145.005
197,197,chicken broth soup,78,2.6,0.8,1.2,0.6,1.9,0.9,11.1,0,2.5,1.6,231.7,0,0.054,0.092,0.067,0.1,5.6,0.1,0.035,0,0,0.048,0,15.1,0.3,1,5,0.5,151.2,428.4,0.024,0.5,31.7
198,198,chicken mushroom chowder soup,431,23.7,6.2,4.5,9.4,38.3,0,16.2,7.5,32.3,1.8,453.8,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0,2.6,0,0,0,0,0,0,99.1
199,199,chicken dumplings soup,235,13.4,3.2,6.1,3.2,14.7,1.4,13.6,1.2,80.5,1.8,249.8,0.077,0.074,0.027,0.024,0.2,4.3,0.4,0.037,0,0,1.3,0.086,35.8,0.3,1.5,8.9,1.2,149,283.1,0.048,0.9,80.269
200,200,chicken vegetable soup,148,5.6,1.7,2.5,1.2,17,3,7.1,1.7,16.9,1.7,207,0.028,0.061,0.093,0.076,0.1,2.4,0.3,0.013,1.9,0,0.6,0.036,33.9,0.2,1.7,12.1,0.7,79.9,304.9,0.001,0.7,68.983
201,201,turkey vegetable soup,72,3,0.9,1.3,0.7,8.6,2.6,3.1,0.5,2.4,0.9,223.9,0.1,0.031,0.076,0.077,0.097,1,0.9,0.079,0,0,0.8,0.017,16.9,0.2,0.8,4.8,0.5,41,175.9,0.017,0.6,33
202,202,wonton soup,71,0.6,0.1,0.2,0.2,11.7,0.8,4.6,0.4,8.9,0.9,203.3,0.043,0.08,0.06,0.074,0.043,1.3,0.3,0.2,1.6,0,0.1,0.058,11.2,0.041,0.5,6.7,0.042,40.1,71.4,0.074,0.3,30.692
204,204,mushroom barley soup,186,5.5,1.1,2.4,1.7,29.3,0,4.6,0,0,1.7,258.9,0,0.009,0.077,0,0.2,2.1,0.3,0.4,0,0,0,0,30.5,0.5,1.2,21.4,0.3,152.5,231.8,0,1.2,71.1
205,205,gazpacho soup,70,0.4,0.008,0.059,0.1,6.6,2.2,10.7,0.7,0,1.1,346,0,0.058,0.012,0,0.091,1.4,0.3,0.2,10.7,0,0.7,0.041,36.9,0.2,1.5,11.1,1.1,55.4,339.5,0.019,0.4,67.5
206,206,beef mushroom soup,186,7.3,3.7,3.1,0.3,15.9,0,14,0.6,15.3,2.2,260.8,0,0.071,0.044,0.035,0.2,2.7,0.6,0.1,0,0,0,0,12.2,0.6,2.1,21.4,0.9,88.5,384.3,0,3.4,52.1
207,207,chicken rice soup,127,3.2,1,1.4,0.7,13,1.4,12.3,1,12,0.9,208.3,0.047,0.018,0.074,0.051,0.002,4.1,0.4,0.012,3.8,0,0.6,0.084,33.6,0.2,1.9,9.6,0.2,72,108,0.077,1,68.818
208,208,pepperpot soup,100,4.5,2,2,0.3,9.1,0,6.2,0.5,9.7,0.9,219.8,0,0.071,0.02,0.024,0.027,1.2,0.3,0.08,1.2,0,0.097,0,26.7,0.1,0.9,4.9,0.6,41.3,148.2,0,1.2,49.1
209,209,vegetable soup,149,4,0.6,1.7,1.5,24.6,7.9,4.3,1.3,0,1.3,214,0,0.1,0.051,0,0.049,1.9,0.7,0.1,3,0,2.9,0.041,42.8,0.3,2.2,15.1,0.9,70.6,430.9,0.088,1,82.2
210,210,chili beef soup,308,6.7,3.3,2.7,0.2,49.6,13.4,13.4,6.6,26.3,2.1,186.4,0.2,0,0.1,0.004,0.067,0.2,2.1,0.6,0.3,8.2,0,2.8,0.072,86.8,0.8,4.3,50,2.1,297.2,1052,0.001,77.607
211,211,chicken soup,174,6.5,1.9,2.9,1.3,16.9,2.1,12.4,1.5,29.4,0.9,206.1,0.027,0.055,0.072,0.049,0.2,4.3,0.4,0.03,1.2,0,0.3,0.085,24.5,0.2,1.7,7.4,0.2,110.3,171.5,0.099,1,64.716
212,212,bean with frankfurters soup,188,7,2.1,2.7,1.7,22,0,10,0,12.5,1.1,207.6,0,0.1,0.038,0,0.018,1,0.1,0.1,1,0,0,0,87.5,0.4,2.4,47.5,0.8,165,477.5,0.073,1.2,129.9
213,213,pea soup,161,2.8,1.4,1,0.4,25.6,8.3,8.3,4.9,0,0.015,219,0.055,0.1,0.008,0,0.074,1.2,0,0.008,1.6,0,0.2,0.066,31.1,0.4,1.9,38.9,0,121.7,183.9,0.041,1.7,76.26
214,214,turkey soup,135,4.4,1.2,1.8,1.1,14.1,0,10.2,0,9.4,0.9,203.8,0,0.045,0.014,0.079,0.1,3.6,0.9,0.3,6.4,0,0,0,49.6,0.2,1.9,23.6,0.2,103.8,361.1,0,2.1,86.6
215,215,stockpot soup,201,7.8,1.7,2,3.5,23.1,0,9.8,0,7.7,2.1,211.3,0,0.002,0.092,0,0.1,2.5,0.7,0.2,4.1,0,0,0,43.9,0.3,1.8,7.7,0.5,108.4,477.3,0,2.3,90.5
216,216,hot sour soup,91,2.8,0.5,0.7,0.7,10.1,1,6,1.2,48.9,0.9,211.2,0.088,0.032,0.021,0.006,0.03,1.2,0.5,0.1,0,0.017,0.9,0.059,44.3,0.032,1.5,21,0.2,74.6,128.2,0.084,0.5,65.954
217,217,cheese soup,203,9.7,6.1,2.7,0.3,28,9.3,2,5.5,7.4,1.7,202.6,0.2,0.023,0.055,0,0.3,0.8,0.2,0.034,0,0,1.4,0.074,89.3,0.2,0.4,29.8,0.5,81.8,91.8,0.036,0.4,135.1
218,218,cream of potato soup,186,4.7,2.4,1.1,0.8,32.2,3.6,3.8,3.3,2.5,1.5,215.2,0.087,0.012,0.067,0,0.096,1.1,1.8,0,0.5,0,0.2,0.056,42.8,0.5,0.9,32.8,0.8,103.3,415.8,0.05,0.4,88.202
219,219,bean with bacon soup,106,2.1,1,0.9,0.2,16.4,0.6,5.5,9,2.7,0.9,237.8,0,0.086,0.069,0,0.3,0.4,0.084,0.099,1.1,0,0.6,0.009,55.7,0.3,1.3,29.2,0.5,90.1,326,0.015,0.7,91.1
222,222,beef broth soup,17,0.5,0.3,0.2,0.049,0.01,0,2.7,0,0,0.9,234.1,0,0.023,0.095,0.072,0.055,1.9,0.011,0.054,0,0,0,0,14.4,0,0.4,4.8,0.035,31.2,129.6,0.023,0,18.049
223,223,lentil soup with ham,139,2.8,1.1,1.3,0.3,20.2,0,9.3,0,7.4,1.3,212.7,0,0.2,0.036,0.056,0.1,1.4,0.3,0.2,4.2,0,0,0,42.2,0.2,2.7,22.3,0.3,183.5,357.1,0.011,0.7,81.4
224,224,tomato soup,98,0.7,0.2,0.2,0.2,22.5,12.2,2.2,1.6,0,0.6,119.6,0,0.044,0,0,0.076,1.3,0,0.1,19.1,0,0.5,0.034,19.2,0.012,0.9,20.7,0.2,45.9,831.8,0.081,0.3,66.2
226,226,chili without beans canned,283,17,5.4,5.9,1.1,14.6,0,18.1,0,50.4,0.9,186.4,0,0.044,0,0.039,0.3,3,0.4,0.3,4.3,0,0,0,72,0.5,4.8,48,0.7,184.8,444,0.043,2.7,130.8
227,227,minestrone soup,167,5,1.1,1.4,2.2,22.6,3.7,8.6,2,2.5,1.3,204.1,0,0.1,0.086,0,0.008,1.9,0.7,0.2,2.2,0,1.1,0.052,68.9,0.2,1.8,14.8,0.7,113.2,627.3,0.029,1.5,111.1
228,228,clam chowder soup,154,4.4,0.8,0.8,2.6,24.5,6.8,4.4,3,5,1.8,212.4,0.051,0.087,0.053,0.065,0.086,1.6,0.4,0.2,8.1,0,2.6,0.011,47.9,0.3,3.3,20.2,0.8,83.2,378,0.057,1.9,95.69
229,229,tomato vegetable soup,54,0.8,0.4,0.3,0.054,9.9,2.4,1.9,0.7,0,0.3,230.9,0,0.088,0.03,0,0.091,1.2,0.1,0.095,2.9,0,0.4,0.079,19.6,0.1,0.6,9.8,0.1,34.3,164.2,0.06,0.2,36.4
231,231,cream of celery soup,181,11.2,2.8,2.6,5,17.7,3.4,3.3,1.5,27.7,1.3,214.1,0.042,0.069,0.052,0,0.049,0.7,2.3,0.001,0.5,0,3.5,0.002,80.6,0.3,1.3,12.6,0.5,75.6,247,0.051,0.3,116.189
233,233,tomato rice soup,240,5.5,1,1.2,2.7,44.1,15.2,4.2,3.4,2.6,1.6,199,0.042,0.1,0.049,0,0.1,2.1,0.3,0.2,29.7,0,4.5,0.081,46.4,0.3,1.6,10.3,0.8,67.1,663.1,0.098,1,134.933
234,234,vegetable beef soup,128,2,0.6,0.7,0.3,9.6,0,18.1,4.4,8.8,1.1,258.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1
235,235,tomato beef noodle soup,281,8.6,3.2,3.5,1.4,42.3,0,8.9,3,7.5,1.8,185.9,0,0.2,0.05,0.077,0.2,3.7,0.4,0.2,0,0,1.6,0,35.1,0.3,2.2,15.1,0.5,113,441.8,0.037,1.5,100.1
236,236,oyster stew soup,118,7.7,5,1.8,0.3,8.2,0,4.2,0,27.1,1.8,221.1,0,0.068,0.028,0.061,0.077,0.5,0.2,0.058,6.4,0,0,0,44.3,3.2,2,9.8,0.7,95.9,98.4,0.035,20.7,72.8
237,237,ramen noodle soup dry,371,13.3,6.4,5.6,1.2,53.9,1.3,8.9,2,0,1.7,4.2,0,0.9,0.008,0.035,0.2,3.5,0.2,0.014,0.3,0,1.3,0.038,24.7,0.1,3.4,19.6,0.4,101.2,152.2,0.021,0.7,106.5
238,238,chicken noodle soup,145,4.7,1.2,1.6,1,18.4,0,7.2,2.7,24.2,2.1,267.2,0.029,0.011,0.2,0.097,0.001,0.2,3.7,0.5,0.1,0,0,0.2,0,18.2,0.4,2,24.2,0.3,115.1,145.4,0.095,33.513
240,240,cream of asparagus soup,174,8.2,2.1,1.9,3.7,21.5,1.8,4.6,1,10.1,1.7,211.8,0.091,0.1,0.089,0,0.2,1.6,0.3,0.033,5.5,0,1.2,0.01,58,0.3,1.6,7.6,0.8,78.1,347.8,0.009,1.8,100.43
241,241,turkey noodle soup,139,4,1.1,1.6,1,17.3,1,7.8,1.5,10.1,1.6,217.7,0.082,0.1,0.06,0.052,0.1,2.8,0.4,0.017,0.3,0,0.4,0.062,22.7,0.3,1.9,10.1,0.5,95.8,151.2,0.028,1.2,55.582
242,242,cream of shrimp soup,181,10.4,6.5,3,0.4,16.5,0,5.6,0.5,32.8,1.7,213.8,0.026,0.085,0.08,0.015,0.029,0.9,0.3,0.054,0,0,0,0,35.3,0.3,1.1,17.6,0.8,65.5,118.4,0.024,1.5,69.41
243,243,bean with pork soup,335,11.5,3,4.2,3.5,44.1,7.8,15.3,15.3,5.2,1.7,182.4,0.021,0.2,0.054,0,0.03,1.1,0.029,0.036,3.1,0,2.3,0.011,156,0.4,4,85.8,0.6,254.8,975,0.052,2,249.324
246,246,split pea soup,180,2.3,0.8,0.9,0.4,29.9,12.8,9.7,4.8,5.1,0.4,208.5,0,0.2,0.019,0,0.079,1.2,0.6,0.2,0,0,0.5,0.022,43,0.3,1.9,35.4,0.5,136.6,463,0.088,1,91.6
247,247,escarole soup,61,4,1.2,1.8,0.8,4,0,3.4,0,5.5,2.3,535.8,0,0.2,0.058,0.06,0.1,5.1,0.4,0.5,10,0,0,0,71.9,0.8,1.7,11.1,2.8,177,591.7,0,5,95
249,249,tomato bisque soup,248,5,1.1,1.4,2.2,47.7,0,4.5,2.1,10.3,1.8,194.3,0.017,0.1,0.097,0,0.1,2.3,0.3,0.2,11.9,0,0,0,80,0.3,1.7,18.1,0.5,121.3,838.5,0,1.2,152.913
250,250,shark fin soup,99,4.3,1.1,1.3,0.7,8.2,0,6.9,0,4.3,1.1,194.7,0,0.019,0.048,0.009,0.086,1.1,0.3,0.017,0.2,0,0,0,21.6,0.2,2,15.1,0.002,45.4,114.5,0,1.8,43.2
251,251,onion soup,113,3.5,0.5,1.5,1.3,16.4,6.7,7.5,1.7,0,1.3,212.4,0.02,0.022,0.099,0,0.016,1.2,0,0.095,2.5,0,0.5,0.088,54.1,0.2,1.4,4.9,0.5,22.1,137.8,0.073,1.2,87.173
252,252,chicken gumbo soup,113,2.9,0.7,1.3,0.7,16.8,4.9,5.3,4,7.6,1.7,221.8,0,0.5,0.041,0,0.8,1.3,0.4,0.1,10.1,0,0.9,0.024,47.9,0.3,1.8,7.6,0.5,50.4,151.2,0.084,0.8,88.8
253,253,crab soup,95,0.8,0.2,0.2,0.3,12.5,0,10.4,2.4,41.5,0.6,217.4,0,0.064,0.07,0.088,0.1,2.5,0.3,0.1,9.3,0,0,0.041,83,0.5,1.9,41.5,0.5,153.7,434.3,0.049,1.9,120.3
254,254,tripe soup,148,5.2,2.1,2.2,0.6,8.1,0,17.2,0,118,0.8,166.8,0,0.041,0,0.093,0.011,1,0.3,0.013,0,0,0.8,0.031,44,0.049,1.4,20,0.1,84,162,0.039,2.1,75.9
298,298,spaghetti with meatballs,200,8.2,2.9,3.3,1.1,22.9,5.8,8.7,5.4,14,0.6,157.6,0.2,0.072,0.2,0.08,0.083,0.1,4,0.6,0.1,3.8,0.049,1,0.036,58,0.1,2.1,26,0.3,114,434,0.057,45.656
302,302,steak sandwich,459,14.1,3.8,5.3,3.3,52,0,30.3,0,73.4,0.8,104.2,0,0.4,0.004,0.038,0.4,7.3,0.9,0.4,5.5,0,0,0,91.8,0.2,5.2,49,0.4,297.8,524.3,0.008,4.5,198.9
307,307,premium grilled chicken classic sandwich mcdonalds,366,8.6,1.7,2.3,4.1,44.6,10,28.3,2.8,68,0.8,114.6,0.051,0.4,0,0.065,0.4,13,1.9,0.6,6.4,0,1.1,0,74,0.1,3,56,0.7,390,456,0,1.4,167.718
